title;price;condition;location;link
EVGA RTX 3090 ftw3 ultra;425,000֏;Малатия-Себастия;Малатия-Себастия;https://www.list.am/ru/item/24242107?ld_src=2
MSI GeForce RTX5070Ti 16G GAMING TRIO OC / GDDR7 / 16GB / Gaming Video Card / Видеокарта;479,000֏;Кентрон;Кентрон;https://www.list.am/ru/item/24236778?ld_src=2
Gigabyte RTX 5060ti 8GB GDDR7 Windforce OC 16G Տեսաքարտ, Видеокарта, Graphics card Վիդեո քարտ;175,000֏;Новое;Эребуни;https://www.list.am/ru/item/23842958?ld_src=2
Videocard Geforce RTX 5060 (Palit);165,000֏;Новое;Эребуни;https://www.list.am/ru/item/23843010?ld_src=2
1070ti 8Gb Gddr5;45,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23843066?ld_src=2
Gigabyte RTX 5060 WindWorce 8GB / Տեսաքարտ, Видеокарта, Graphics card Վիդեո քարտ;165,000֏;Новое;Эребуни;https://www.list.am/ru/item/23829924?ld_src=2
Видеокарта palit nvidia geforce rtx 3060ti pa-rtx3060ti dual oc 8g v1 lhr 8гб dual;95,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23367451?ld_src=2
Xfx radeon rx 580 gts;30,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23367443?ld_src=2
Տեսաքարտ Видеокарта (VGA) - Asus Dual RTX 5060 8GB GDDR7 OC;209,900֏;Новое;Кентрон;https://www.list.am/ru/item/22286256?ld_src=2
Видеокарта GPU ASUS TUF Gaming GeForce RTX 5070 Ti 16GB GDDR7 White OC Edition;599,000֏;Новое;Гюмри;https://www.list.am/ru/item/24078840?ld_src=2
Видеокарта - ZOTAC GeForce RTX 5070 Twin Edge 12GB GDDR7 (гарантия 1 год);374,900֏;Новое;Кентрон;https://www.list.am/ru/item/24068903?ld_src=2
XFX Speedster MERC3T9 Radeon RX 6900 XT;299,000֏;Новое;Кентрон;https://www.list.am/ru/item/24076178?ld_src=2
Видеокарта RTX 3070 Nvidia GALAX rtx3070 / rev 1.0 տեսաքարտ;110,000֏;Новое;Гюмри;https://www.list.am/ru/item/22660559?ld_src=2
Asus rog strix gaming видеокарта rtx 3070 8gb;170,000֏;Использованное;Гюмри;https://www.list.am/ru/item/24140198?ld_src=2
Colorful iGame Geforce RTX 3070;170,000֏;Новое;Гюмри;https://www.list.am/ru/item/24160540?ld_src=2
